Wifitype,Street,City,Postcode,Country,Owner,Latitude,Longitude
Cafe/Coffee Shop,Unit 1 Cowcross Place,London,EC1M 6DQ,United Kingdom,BT Openzone,51.5203071,-0.103397
Cafe/Coffee Shop,Crowcross Street Cowcross Place,London,EC1M 6DQ,United Kingdom,BT Openzone,51.5203071,-0.103397
Cafe/Coffee Shop,62 Exmouth Market Clerkenwell,London,EC1R 4QE,United Kingdom,BT Openzone,51.5258625,-0.1088461
Cafe/Coffee Shop,8 Charterhouse Buildings Goswell Road Clerkenwell,London,EC1M 7AN,United Kingdom,BT Openzone,51.5229597,-0.0983856
Cafe/Coffee Shop,104-122 City Road Old Street,London,EC1V 2NR,United Kingdom,BT Openzone,51.526286,-0.0883719
Hotel,Central Street Clerkenwell,London,EC1V 8DS,United Kingdom,BT Openzone,51.5274922,-0.0967407
Outdoor Coverage,88-90 Hatton Gardens and Greville Street Camden,London,EC1N 8PJ,United Kingdom,BT Openzone,51.51938,-0.1089128
Outdoor Coverage,Smithfield Marketgrand Avenue,London,EC1A 9DJ,United Kingdom,BT Openzone,51.5182488,-0.1020248
Outdoor Coverage,HSBC Goswell Road Islington,London,EC1V 7DA,United Kingdom,BT Openzone,51.5235726,-0.0984754
Outdoor Coverage,0utside 44 Clerkenwell Green Islington,London,EC1R 0EB,United Kingdom,BT Openzone,51.5233105,-0.1050597
Outdoor Coverage,Post Office 47 Rosebery Avenue Islington,London,EC1R 4SH,United Kingdom,BT Openzone,51.5242549,-0.1112047
Outdoor Coverage,St Johns Square Albemarle Way Islington,London,EC1V 4JB,United Kingdom,BT Openzone,51.5228149,-0.1027738
